school_name,school_level,class_code,campus_id,Basement,Floor 1,Floor 2,Floor 3,Floor 4,Floor 5,Mezzanine,UpdatedName
SMALL,Middle School,MID,060,,SMALL MS L1.svg,SMALL MS L2.svg,SMALL MS L3.svg,,,,Small MS
SOUTHEAST BUS,District Facility,DISTRICT,955,,1,,,,,,Southeast Bus Terminal
ST ELMO,Elementary School,ELEM,136,ST ELMO ES LB.svg,ST ELMO ES L1.svg,,,,,,St. Elmo ES
SUMMITT,Elementary School,ELEM,138,,SUMMIT ES.svg,,,,,,Summitt ES
TRAVIS,High School,HIGH,007,,TRAVIS ECHS L1.svg,TRAVIS ECHS L2.svg,,,,,Travis ECHS
Note: An Educational Suitability Assessment (ESA) and campus survey will be conducted after your full modernization project has been completed and the campus is occupying the new facility.,,,,,,,,,,,
TRAVIS HEIGHTS,Elementary School,ELEM,140,TRAVIS HEIGHTS ES LB_updated.svg,TRAVIS HEIGHTS ES L1_updated.svg,,,,,,Travis Heights ES
UPHAUS,Elementary School,ELEM,177,,UPHAUS ECC.svg,,,,,,Uphaus ECC
WALNUT CREEK,Elementary School,ELEM,141,,WALNUT CREEK ES.svg,,,,,,Walnut Creek ES
WEBB,Middle School,MID,053,WEBB MS LB.svg,WEBB MS L1.svg,WEBB MS L2.svg,,,,,Webb MS
WIDEN,Elementary School,ELEM,175,,WIDEN ES L1.svg,,,,,,Widen ES
WILLIAMS,Elementary School,ELEM,166,WILLIAMS ES LM.svg,WILLIAMS ES L1.svg,,,,,,Williams ES
WINN,Elementary School,ELEM,157,,WINN ES L1.svg,WINN ES L2.svg,,,,,Winn ES
WOOLDRIDGE,Elementary School,ELEM,152,,WOOLDRIDGE ES L1.svg,WOOLDRIDGE ES L2.svg,,,,,Wooldridge ES
Note: An Educational Suitability Assessment (ESA) and campus survey will be conducted after your full modernization project has been completed and the campus is occupying the new facility.,,,,,,,,,,,
WOOTEN,Elementary School,ELEM,144,,WOOTEN ES L1.svg,,,,,,Wooten ES
ZAVALA,Elementary School,ELEM,145,ZAVALA ES LB.svg,ZAVALA ES L1.svg,ZAVALA ES L2.svg,,,,,Zavala ES
ZILKER,Elementary School,ELEM,146,,ZILKER ES L1.svg,,,,,ZILKER ES LM.svg,Zilker ES
PEASE,District Facility,DISTRICT,,,PEASE L1.svg,PEASE L2.svg,PEASE L3.svg,,,,Pease Facility
