CategoryID,ScoreFocusArea,SpaceTypeID,CategoryName,CategoryWeight,ScoringMode,WeightSource,DisplayOrder,IsActive
CAT-SPED-FLEX-STUDIO-SIZE-9C57FD,Special Education,SPT-SPED-FLEX-STUDIO-8EBAD0,Size,12,Scored,EqualWeight,10,True
CAT-SPED-FLEX-STUDIO-FUNCTION-89F14E,Special Education,SPT-SPED-FLEX-STUDIO-8EBAD0,Function,12,Scored,EqualWeight,20,True
CAT-SPED-FLEX-STUDIO-INFRASTRUCTURE-AE1A1E,Special Education,SPT-SPED-FLEX-STUDIO-8EBAD0,Infrastructure,12,Scored,EqualWeight,30,True
CAT-SPED-FLEX-STUDIO-OCCUPANT-EXPERIENC-712E43,Special Education,SPT-SPED-FLEX-STUDIO-8EBAD0,Occupant Experience,12,Scored,EqualWeight,40,True
CAT-SPED-FLEX-STUDIO-AMENITIES-BAA830,Special Education,SPT-SPED-FLEX-STUDIO-8EBAD0,Amenities,12,Scored,EqualWeight,50,True
CAT-SPED-FLEX-SIZE-338119,Special Education,SPT-SPED-FLEX-B08CC4,Size,12,Scored,EqualWeight,10,True
CAT-SPED-FLEX-OBSERVATIONAL-E7A5A3,Special Education,SPT-SPED-FLEX-B08CC4,Observational,0,RecordedOnly,EqualWeight_Unscored,20,True
CAT-LIBRARY-MEDIA-CE-SIZE-3EA30A,Shared Spaces,SPT-LIBRARY-MEDIA-CENTER-951EE9,Size,12,Scored,EqualWeight,10,True
CAT-LIBRARY-MEDIA-CE-FUNCTION-04EAF5,Shared Spaces,SPT-LIBRARY-MEDIA-CENTER-951EE9,Function,12,Scored,EqualWeight,20,True
CAT-LIBRARY-MEDIA-CE-OCCUPANT-EXPERIENC-FAF43D,Shared Spaces,SPT-LIBRARY-MEDIA-CENTER-951EE9,Occupant Experience,12,Scored,EqualWeight,30,True
CAT-LIBRARY-MEDIA-CE-INFRASTRUCTURE-9EC5EC,Shared Spaces,SPT-LIBRARY-MEDIA-CENTER-951EE9,Infrastructure,12,Scored,EqualWeight,40,True
CAT-LIBRARY-MEDIA-CE-AMENITIES-B9B586,Shared Spaces,SPT-LIBRARY-MEDIA-CENTER-951EE9,Amenities,12,Scored,EqualWeight,50,True
CAT-LIBRARY-MEDIA-CE-OBSERVATIONAL-B07448,Shared Spaces,SPT-LIBRARY-MEDIA-CENTER-951EE9,Observational,0,RecordedOnly,EqualWeight_Unscored,60,True
CAT-COMPETITION-GYM-SIZE-C01001,Athletics and Wellness,SPT-COMPETITION-GYM-D05D49,Size,12,Scored,EqualWeight,10,True
CAT-COMPETITION-GYM-FUNCTION-7E8D10,Athletics and Wellness,SPT-COMPETITION-GYM-D05D49,Function,12,Scored,EqualWeight,20,True
CAT-COMPETITION-GYM-OCCUPANT-EXPERIENC-058D89,Athletics and Wellness,SPT-COMPETITION-GYM-D05D49,Occupant Experience,12,Scored,EqualWeight,30,True
CAT-COMPETITION-GYM-INFRASTRUCTURE-DA01FB,Athletics and Wellness,SPT-COMPETITION-GYM-D05D49,Infrastructure,12,Scored,EqualWeight,40,True
CAT-COMPETITION-GYM-AMENITIES-9ED9A4,Athletics and Wellness,SPT-COMPETITION-GYM-D05D49,Amenities,12,Scored,EqualWeight,50,True
CAT-COMPETITION-GYM-OBSERVATIONAL-704A6B,Athletics and Wellness,SPT-COMPETITION-GYM-D05D49,Observational,0,RecordedOnly,EqualWeight_Unscored,60,True
CAT-MULTIPURPOSE-GYM-SIZE-D6A2A4,Athletics and Wellness,SPT-MULTIPURPOSE-GYM-99D091,Size,12,Scored,EqualWeight,10,True
CAT-MULTIPURPOSE-GYM-FUNCTION-A7279A,Athletics and Wellness,SPT-MULTIPURPOSE-GYM-99D091,Function,12,Scored,EqualWeight,20,True
CAT-MULTIPURPOSE-GYM-OCCUPANT-EXPERIENC-BB9BF7,Athletics and Wellness,SPT-MULTIPURPOSE-GYM-99D091,Occupant Experience,12,Scored,EqualWeight,30,True
CAT-MULTIPURPOSE-GYM-INFRASTRUCTURE-56C527,Athletics and Wellness,SPT-MULTIPURPOSE-GYM-99D091,Infrastructure,12,Scored,EqualWeight,40,True
CAT-MULTIPURPOSE-GYM-AMENITIES-F07504,Athletics and Wellness,SPT-MULTIPURPOSE-GYM-99D091,Amenities,12,Scored,EqualWeight,50,True
