OptionID,QuestionID,SourceScoreID,ResponseOption,OptionScore,ItemScoringMode,ScoreGroupID,IsExclusionOption,DisplayOrder,IsActive
OPT-CP-006-03,CP-006,CP-006a,2+,1,SingleResponse,SR-CP-006-CP-006A,False,30,True
OPT-CP-006-04,CP-006,CP-006a,Unable to assess (note reason),,SingleResponse,SR-CP-006-CP-006A,True,40,True
OPT-CP-007-01,CP-007,CP-007a,0,,SingleResponse,SR-CP-007-CP-007A,False,10,True
OPT-CP-007-02,CP-007,CP-007a,1,0.5,SingleResponse,SR-CP-007-CP-007A,False,20,True
OPT-CP-007-03,CP-007,CP-007a,2+,1,SingleResponse,SR-CP-007-CP-007A,False,30,True
OPT-CP-007-04,CP-007,CP-007a,Unable to assess (note reason),,SingleResponse,SR-CP-007-CP-007A,True,40,True
OPT-CP-008-01,CP-008,CP-008i,Acoustic panel ceiling (ACT),,Inventory,INV-CP-008-CP-008I,False,10,True
OPT-CP-008-02,CP-008,CP-008i,Acoustic wall panels,,Inventory,INV-CP-008-CP-008I,False,20,True
OPT-CP-008-03,CP-008,CP-008i,"Floor coverings (e.g., rugs)",,Inventory,INV-CP-008-CP-008I,False,30,True
OPT-CP-008-04,CP-008,CP-008i,Other (please note),,Inventory,INV-CP-008-CP-008I,False,40,True
OPT-CP-008-05,CP-008,CP-008i,None,,Inventory,INV-CP-008-CP-008I,False,50,True
OPT-CP-009-01,CP-009,CP-009a,Yes,1,SingleResponse,SR-CP-009-CP-009A,False,10,True
OPT-CP-009-02,CP-009,CP-009a,No,0,SingleResponse,SR-CP-009-CP-009A,False,20,True
OPT-CP-009-03,CP-009,CP-009a,Unable to assess (note reason),,SingleResponse,SR-CP-009-CP-009A,True,30,True
OPT-CP-010-01,CP-010,CP-010a,"Access to views of the outdoors (e.g., not solely a view of an exterior wall)",1,SingleResponse,SR-CP-010-CP-010A,False,10,True
OPT-CP-010-02,CP-010,CP-010i,Only clerestory windows are provided,,Inventory,INV-CP-010-CP-010I,False,20,True
OPT-CP-011-01,CP-011,CP-011a,A thermostat is provided that has adjustable temperature controls,1,SingleResponse,SR-CP-011-CP-011A,False,10,True
OPT-CP-011-02,CP-011,CP-011a,A thermostat is provided that does not have adjustable temperature controls,0.5,SingleResponse,SR-CP-011-CP-011A,False,20,True
OPT-CP-011-03,CP-011,CP-011a,Only a temperature sensor is provided,,SingleResponse,SR-CP-011-CP-011A,False,30,True
OPT-CP-011-04,CP-011,CP-011a,No thermostat or sensor is present in the space,,SingleResponse,SR-CP-011-CP-011A,False,40,True
OPT-CP-012-01,CP-012,CP-012a,Furniture can be rearranged for a variety of uses and group sizes,1,SingleResponse,SR-CP-012-CP-012A,False,10,True
OPT-CP-012-02,CP-012,CP-012b,Soft seating is provided,1,SingleResponse,SR-CP-012-CP-012B,False,20,True
OPT-CP-012-03,CP-012,CP-012i,Tables and chairs for group meetings,,Inventory,INV-CP-012-CP-012I,False,30,True
OPT-CP-012-04,CP-012,CP-012i,"Furniture that can be easily moved by a single person (e.g., casters, lightweight construction)",,Inventory,INV-CP-012-CP-012I,False,40,True
OPT-CP-012-05,CP-012,CP-012i,Other (please note),,Inventory,INV-CP-012-CP-012I,False,50,True
OPT-CP-013-01,CP-013,CP-013a,Good - appears relatively new or has minimal wear,1,SingleResponse,SR-CP-013-CP-013A,False,10,True
OPT-CP-013-02,CP-013,CP-013a,"Fair - some furniture is noticeably worn or aging, but all is functional",0.5,SingleResponse,SR-CP-013-CP-013A,False,20,True
OPT-CP-013-03,CP-013,CP-013a,"Poor - some or all furniture is significantly worn, damaged, or not usable",,SingleResponse,SR-CP-013-CP-013A,False,30,True
OPT-CP-014-01,CP-014,CP-014i,"Resilient flooring (e.g., vinyl, rubber)",,Inventory,INV-CP-014-CP-014I,False,10,True
OPT-CP-014-02,CP-014,CP-014i,Terrazzo,,Inventory,INV-CP-014-CP-014I,False,20,True
OPT-CP-014-03,CP-014,CP-014i,Polished concrete,,Inventory,INV-CP-014-CP-014I,False,30,True
OPT-CP-014-04,CP-014,CP-014i,"Carpet (i.e., not a loose rug)",,Inventory,INV-CP-014-CP-014I,False,40,True
OPT-CP-014-05,CP-014,CP-014i,Other (please note),,Inventory,INV-CP-014-CP-014I,False,50,True
OPT-CP-014-06,CP-014,CP-014i,Unable to assess (note reason),,Inventory,INV-CP-014-CP-014I,True,60,True
OPT-CP-015-01,CP-015,CP-015i,Water cooler,,Inventory,INV-CP-015-CP-015I,False,10,True
OPT-CP-015-02,CP-015,CP-015i,Bottle filler,,Inventory,INV-CP-015-CP-015I,False,20,True
OPT-CP-015-03,CP-015,CP-015i,PA speaker,,Inventory,INV-CP-015-CP-015I,False,30,True
OPT-CP-015-04,CP-015,CP-015i,Synchronous clock,,Inventory,INV-CP-015-CP-015I,False,40,True
