CategoryID,ScoreFocusArea,SpaceTypeID,CategoryName,CategoryWeight,DisplayOrder,IsActive
CAT-ADMIN-OFFICES-AMENITIES,Arrival/Administration,SPT-ADMIN-OFFICES,Amenities,12,50,True
CAT-COMMUNITY-PARTNE-SIZE,Arrival/Administration,SPT-COMMUNITY-PARTNERS-SUITE,Size,12,10,True
CAT-COMMUNITY-PARTNE-FUNCTION,Arrival/Administration,SPT-COMMUNITY-PARTNERS-SUITE,Function,12,20,True
CAT-COMMUNITY-PARTNE-OCCUPANT-EXPERIENCE,Arrival/Administration,SPT-COMMUNITY-PARTNERS-SUITE,Occupant Experience,12,30,True
CAT-COMMUNITY-PARTNE-AMENITIES,Arrival/Administration,SPT-COMMUNITY-PARTNERS-SUITE,Amenities,12,40,True
CAT-COMMUNITY-PARTNE-INFRASTRUCTURE,Arrival/Administration,SPT-COMMUNITY-PARTNERS-SUITE,Infrastructure,6,50,True
CAT-MENTAL-WELLNESS--SIZE,Arrival/Administration,SPT-MENTAL-WELLNESS-AND-COUNSELING-S,Size,12,10,True
CAT-MENTAL-WELLNESS--FUNCTION,Arrival/Administration,SPT-MENTAL-WELLNESS-AND-COUNSELING-S,Function,12,20,True
CAT-MENTAL-WELLNESS--OCCUPANT-EXPERIENCE,Arrival/Administration,SPT-MENTAL-WELLNESS-AND-COUNSELING-S,Occupant Experience,12,30,True
CAT-MENTAL-WELLNESS--AMENITIES,Arrival/Administration,SPT-MENTAL-WELLNESS-AND-COUNSELING-S,Amenities,12,40,True
CAT-MENTAL-WELLNESS--INFRASTRUCTURE,Arrival/Administration,SPT-MENTAL-WELLNESS-AND-COUNSELING-S,Infrastructure,6,50,True
CAT-PROFESSIONAL-LEA-SIZE,Arrival/Administration,SPT-PROFESSIONAL-LEARNING-CENTER,Size,12,10,True
CAT-PROFESSIONAL-LEA-FUNCTION,Arrival/Administration,SPT-PROFESSIONAL-LEARNING-CENTER,Function,12,20,True
CAT-PROFESSIONAL-LEA-INFRASTRUCTURE,Arrival/Administration,SPT-PROFESSIONAL-LEARNING-CENTER,Infrastructure,6,30,True
CAT-PROFESSIONAL-LEA-OCCUPANT-EXPERIENCE,Arrival/Administration,SPT-PROFESSIONAL-LEARNING-CENTER,Occupant Experience,12,40,True
CAT-PROFESSIONAL-LEA-AMENITIES,Arrival/Administration,SPT-PROFESSIONAL-LEARNING-CENTER,Amenities,12,50,True
CAT-MAIN-ENTRY-RECEP-SIZE,Arrival/Administration,SPT-MAIN-ENTRY-RECEPTION,Size,12,10,True
CAT-MAIN-ENTRY-RECEP-OCCUPANT-EXPERIENCE,Arrival/Administration,SPT-MAIN-ENTRY-RECEPTION,Occupant Experience,12,20,True
CAT-MAIN-ENTRY-RECEP-FUNCTION,Arrival/Administration,SPT-MAIN-ENTRY-RECEPTION,Function,12,30,True
CAT-MAIN-ENTRY-RECEP-AMENITIES,Arrival/Administration,SPT-MAIN-ENTRY-RECEPTION,Amenities,12,40,True
CAT-MAIN-ENTRY-RECEP-INFRASTRUCTURE,Arrival/Administration,SPT-MAIN-ENTRY-RECEPTION,Infrastructure,6,50,True
CAT-MAIN-ADMIN-SUITE-SIZE,Arrival/Administration,SPT-MAIN-ADMIN-SUITE,Size,12,10,True
CAT-MAIN-ADMIN-SUITE-FUNCTION,Arrival/Administration,SPT-MAIN-ADMIN-SUITE,Function,12,20,True
CAT-MAIN-ADMIN-SUITE-OCCUPANT-EXPERIENCE,Arrival/Administration,SPT-MAIN-ADMIN-SUITE,Occupant Experience,12,30,True
CAT-MAIN-ADMIN-SUITE-INFRASTRUCTURE,Arrival/Administration,SPT-MAIN-ADMIN-SUITE,Infrastructure,6,40,True
CAT-MAIN-ADMIN-SUITE-AMENITIES,Arrival/Administration,SPT-MAIN-ADMIN-SUITE,Amenities,12,50,True
