SubcategoryID,CategoryID,ScoreFocusArea,SubcategoryName,SubcategoryWeight,WeightSource,DisplayOrder,IsActive
SUB-PROFESSIONAL-OCCUPANT-E-SAFETY-AND-SUPERVISI-06F6C2,CAT-PROFESSIONAL-LEA-OCCUPANT-EXPERIENCE-9BB707,Arrival/Administration,Safety and Supervision,12,Source,30,True
SUB-PROFESSIONAL-INFRASTRUC-FLOORING-AND-SURFACE-DF92FF,CAT-PROFESSIONAL-LEA-INFRASTRUCTURE-5EF21B,Arrival/Administration,Flooring and Surface Finishes,0,Inventory,20,True
SUB-MAIN-ENTRY-R-OCCUPANT-E-SAFETY-AND-SUPERVISI-EBE41A,CAT-MAIN-ENTRY-RECEP-OCCUPANT-EXPERIENCE-7CD2FD,Arrival/Administration,Safety and Supervision,12,Source,10,True
SUB-MAIN-ENTRY-R-OCCUPANT-E-AESTHETICS-B5F6D1,CAT-MAIN-ENTRY-RECEP-OCCUPANT-EXPERIENCE-7CD2FD,Arrival/Administration,Aesthetics,6,Source,20,True
SUB-MAIN-ENTRY-R-FUNCTION-ADJACENCY-AND-ACCESS-F35482,CAT-MAIN-ENTRY-RECEP-FUNCTION-E122F9,Arrival/Administration,Adjacency and Access,12,Source,10,True
SUB-MAIN-ENTRY-R-OCCUPANT-E-OCCUPANT-COMFORT-42A0D6,CAT-MAIN-ENTRY-RECEP-OCCUPANT-EXPERIENCE-7CD2FD,Arrival/Administration,Occupant Comfort,12,Source,30,True
SUB-MAIN-ENTRY-R-AMENITIES-DISPLAY-AND-PRESENTA-A38AC6,CAT-MAIN-ENTRY-RECEP-AMENITIES-10BE28,Arrival/Administration,Display and Presentation,9,Source,10,True
SUB-MAIN-ENTRY-R-AMENITIES-FURNITURE-AND-EQUIPM-4092F9,CAT-MAIN-ENTRY-RECEP-AMENITIES-10BE28,Arrival/Administration,Furniture and Equipment,12,Source,20,True
SUB-MAIN-ENTRY-R-FUNCTION-LAYOUT-AND-FLEXIBILI-926855,CAT-MAIN-ENTRY-RECEP-FUNCTION-E122F9,Arrival/Administration,Layout and Flexibility,9,Source,20,True
SUB-MAIN-ENTRY-R-INFRASTRUC-FLOORING-AND-SURFACE-482A1C,CAT-MAIN-ENTRY-RECEP-INFRASTRUCTURE-366D5D,Arrival/Administration,Flooring and Surface Finishes,0,Inventory,10,True
SUB-MAIN-ENTRY-R-INFRASTRUC-UTILITIES-AND-TECHNO-ABBFE8,CAT-MAIN-ENTRY-RECEP-INFRASTRUCTURE-366D5D,Arrival/Administration,Utilities and Technology,0,Inventory,20,True
SUB-SCIENCE-FUNCTION-LAYOUT-AND-FLEXIBILI-7C42E6,CAT-SCIENCE-FUNCTION-A9E6DD,Studios,Layout and Flexibility,3,Source,10,True
SUB-SCIENCE-FUNCTION-CIRCULATION-AND-EGRE-D77C70,CAT-SCIENCE-FUNCTION-A9E6DD,Studios,Circulation and Egress,3,Source,20,True
SUB-SCIENCE-INFRASTRUC-UTILITIES-AND-TECHNO-1486B1,CAT-SCIENCE-INFRASTRUCTURE-770C92,Studios,Utilities and Technology,3,Source,10,True
SUB-SCIENCE-OCCUPANT-E-AESTHETICS-DD6013,CAT-SCIENCE-OCCUPANT-EXPERIENCE-79D4C8,Studios,Aesthetics,3,Source,10,True
