CategoryID,ScoreFocusArea,SpaceTypeID,CategoryName,CategoryWeight,WeightSource,DisplayOrder,IsActive
CAT-OUTDOOR-SPACES-INFRASTRUCTURE-DB4715,Outdoor,SPT-OUTDOOR-SPACES-F4EC64,Infrastructure,6,Source,50,True
CAT-ADMIN-OFFICES-FUNCTION-41467A,Arrival/Administration,SPT-ADMIN-OFFICES-C36ECE,Function,12,Source,20,True
CAT-ADMIN-OFFICES-INFRASTRUCTURE-F0A2D8,Arrival/Administration,SPT-ADMIN-OFFICES-C36ECE,Infrastructure,6,Source,30,True
CAT-ADMIN-OFFICES-OCCUPANT-EXPERIENCE-BD5B4D,Arrival/Administration,SPT-ADMIN-OFFICES-C36ECE,Occupant Experience,12,Source,40,True
CAT-ADMIN-OFFICES-AMENITIES-8EA266,Arrival/Administration,SPT-ADMIN-OFFICES-C36ECE,Amenities,9,Source,50,True
CAT-MAIN-ADMIN-SUITE-OCCUPANT-EXPERIENCE-54985E,Arrival/Administration,SPT-MAIN-ADMIN-SUITE-6009C0,Occupant Experience,12,Source,20,True
CAT-COMMUNITY-PARTNE-FUNCTION-FA6308,Arrival/Administration,SPT-COMMUNITY-PARTNERS-SUITE-8EC0EC,Function,12,Source,20,True
CAT-COMMUNITY-PARTNE-OCCUPANT-EXPERIENCE-B68577,Arrival/Administration,SPT-COMMUNITY-PARTNERS-SUITE-8EC0EC,Occupant Experience,12,Source,30,True
CAT-COMMUNITY-PARTNE-AMENITIES-F47E07,Arrival/Administration,SPT-COMMUNITY-PARTNERS-SUITE-8EC0EC,Amenities,9,Source,40,True
CAT-COMMUNITY-PARTNE-INFRASTRUCTURE-902D32,Arrival/Administration,SPT-COMMUNITY-PARTNERS-SUITE-8EC0EC,Infrastructure,6,Assumed,50,True
CAT-MW-AND-COUNSELIN-FUNCTION-E4D080,Administration,SPT-MW-AND-COUNSELING-SUITE-3ACB29,Function,3,Source,20,True
CAT-MW-AND-COUNSELIN-INFRASTRUCTURE-E31953,Administration,SPT-MW-AND-COUNSELING-SUITE-3ACB29,Infrastructure,3,Source,30,True
CAT-MW-AND-COUNSELIN-AMENITIES-2A63B7,Administration,SPT-MW-AND-COUNSELING-SUITE-3ACB29,Amenities,3,Source,40,True
CAT-MW-AND-COUNSELIN-OCCUPANT-EXPERIENCE-339E86,Administration,SPT-MW-AND-COUNSELING-SUITE-3ACB29,Occupant Experience,3,Source,50,True
CAT-PROFESSIONAL-LEA-FUNCTION-0D7058,Arrival/Administration,SPT-PROFESSIONAL-LEARNING-CENTER-A2E7B5,Function,12,Source,20,True
CAT-PROFESSIONAL-LEA-INFRASTRUCTURE-5EF21B,Arrival/Administration,SPT-PROFESSIONAL-LEARNING-CENTER-A2E7B5,Infrastructure,6,Source,30,True
CAT-PROFESSIONAL-LEA-OCCUPANT-EXPERIENCE-9BB707,Arrival/Administration,SPT-PROFESSIONAL-LEARNING-CENTER-A2E7B5,Occupant Experience,12,Source,40,True
