OptionID,QuestionID,SourceScoreID,ResponseOption,OptionScore,ItemScoringMode,ScoreGroupID,IsExclusionOption,DisplayOrder,IsActive
OPT-ST-018-01,ST-018,ST-018a,Interior windows and doors with glass can be covered with a single movement,1,SingleResponse,SR-ST-018-ST-018A,False,10,True
OPT-ST-018-02,ST-018,ST-018b,Exterior windows and doors with glass can be covered with a single movement,1,SingleResponse,SR-ST-018-ST-018B,False,20,True
OPT-ST-018-03,ST-018,ST-018c,There is an area large enough for a full class to easily get out of sight to shelter-in-place (without needing to cover windows or doors with glass),1,SingleResponse,SR-ST-018-ST-018C,False,30,True
OPT-ST-018-04,ST-018,ST-018d,Interior door hardware is lockable from inside the space with a push button or thumb turn lock,1,SingleResponse,SR-ST-018-ST-018D,False,40,True
OPT-ST-019-01,ST-019,ST-019i,Individual student desks,,Inventory,INV-ST-019-ST-019I,False,10,True
OPT-ST-019-02,ST-019,ST-019i,Tables that seat multiple students,,Inventory,INV-ST-019-ST-019I,False,20,True
OPT-ST-019-03,ST-019,ST-019i,Height-adjustable student tables,,Inventory,INV-ST-019-ST-019I,False,30,True
OPT-ST-019-04,ST-019,ST-019i,Standing-height student worksurfaces,,Inventory,INV-ST-019-ST-019I,False,40,True
OPT-ST-019-05,ST-019,ST-019i,"Student desks with attached chair (i.e., combo units)",,Inventory,INV-ST-019-ST-019I,False,50,True
OPT-ST-019-06,ST-019,ST-019i,"Hard seating (e.g., standard chairs, stools)",,Inventory,INV-ST-019-ST-019I,False,60,True
OPT-ST-019-07,ST-019,ST-019i,"Active seating (e.g., wobble stools, rockers)",,Inventory,INV-ST-019-ST-019I,False,70,True
OPT-ST-019-08,ST-019,ST-019i,"Soft seating (e.g., bean bags, floor cushions)",,Inventory,INV-ST-019-ST-019I,False,80,True
OPT-ST-019-09,ST-019,ST-019i,"One or more mobile writing surfaces (i.e., mobile markerboards)",,Inventory,INV-ST-019-ST-019I,False,90,True
OPT-ST-019-10,ST-019,ST-019i,One or more mobile tackboards,,Inventory,INV-ST-019-ST-019I,False,100,True
OPT-ST-019-11,ST-019,ST-019i,One or more mobile monitors,,Inventory,INV-ST-019-ST-019I,False,110,True
OPT-ST-019-12,ST-019,ST-019i,Other (please note),,Inventory,INV-ST-019-ST-019I,False,120,True
OPT-ST-020-01,ST-020,ST-020a,"Most furniture can be moved by students or a single teacher (e.g., casters, lightweight pieces)",1,SingleResponse,SR-ST-020-ST-020A,False,10,True
OPT-ST-020-02,ST-020,ST-020a,"Some furniture is movable, some is heavy or fixed",0.5,SingleResponse,SR-ST-020-ST-020A,False,20,True
OPT-ST-020-03,ST-020,ST-020a,"Most furniture is heavy, fixed, or impractical to move",0,SingleResponse,SR-ST-020-ST-020A,False,30,True
OPT-ST-021-01,ST-021,ST-021a,Varied seating is provided for multiple students across multiple areas of the space,1,SingleResponse,SR-ST-021-ST-021A,False,10,True
OPT-ST-021-02,ST-021,ST-021a,"Limited varied seating is provided (i.e., a single area or only a few students accommodated at a time)",0.5,SingleResponse,SR-ST-021-ST-021A,False,20,True
OPT-ST-021-03,ST-021,ST-021a,No varied seating is provided,0,SingleResponse,SR-ST-021-ST-021A,False,30,True
OPT-ST-021-04,ST-021,ST-021a,Unable to assess (note reason),,SingleResponse,SR-ST-021-ST-021A,True,40,True
